source,target,value
azure,.net,20.933192346640457
sql-server,.net,32.322524219339904
asp.net,.net,48.40702996199019
entity-framework,.net,24.37090250532431
wpf,.net,32.35092522005943
linq,.net,20.501743858149066
wcf,.net,28.074400427611113
c#,.net,62.167895042923824
tdd,agile,37.146589924204555
codeigniter,ajax,23.19190040565183
jquery,ajax,50.56672861589973
mysql,ajax,24.80008942291756
css,ajax,26.613713724688935
php,ajax,28.01067925660409
javascript,ajax,24.39914442262329
json,ajax,32.94744601093195
cloud,amazon-web-services,21.31860679884144
azure,amazon-web-services,21.30994959394633
devops,amazon-web-services,24.98353120101788
docker,amazon-web-services,32.198071014100535
ios,android,39.77803622570551
android-studio,android,33.661083176336234
java,android,50.984730766476574
android,android-studio,33.661083176336234
typescript,angular,31.03648178393663
typescript,angular2,38.87998222920348
angularjs,angular2,26.032697164489267
ionic-framework,angularjs,29.840445766924983
reactjs,angularjs,31.62020230471286
mongodb,angularjs,31.510711170360768
css,angularjs,22.210413043130057
sass,angularjs,20.425878416671157
twitter-bootstrap,angularjs,24.153685861107462
javascript,angularjs,39.37662666227728
express,angularjs,24.43382880528071
node.js,angularjs,47.56352702530362
jquery,angularjs,30.34794743352026
asp.net-web-api,angularjs,20.11309966430225
angular2,angularjs,26.032697164489267
html5,angularjs,23.082664020750425
nginx,apache,48.583173464083416
mysql,apache,29.097834547698525
linux,apache,28.168213013158717
scala,apache-spark,50.79184563415286
hadoop,apache-spark,59.82678558413366
rest,api,22.175589109335288
.net,asp.net,48.40702996199019
sql,asp.net,21.6722646057341
sql-server,asp.net,59.67328948689907
c#,asp.net,80.4485421720991
asp.net-web-api,asp.net,47.38627215537402
jquery,asp.net,28.723178220098205
entity-framework,asp.net,48.1136690894626
mvc,asp.net,22.828412163028812
azure,asp.net,23.764072995058054
wpf,asp.net,28.15902333873328
linq,asp.net,31.581277746170855
wcf,asp.net,40.951421726059984
vb.net,asp.net,23.711346281144564
asp.net,asp.net-web-api,47.38627215537402
